cdscod;cds;studente;avg_voto;num_esami;max;min;diff_day;diff_day_norm;avg_voto_norm;num_esami_norm;studente;ratio
E3101Q;[E3101Q] INFORMATICA;9F68E6B3B856F6B913031BC9BFA85E616140413D;29,375;13;17/07/2017;24/01/2017;174;0,375;0,979166667;0,481481481;9F68E6B3B856F6B913031BC9BFA85E616140413D;0,640046296
F7601M;[F7601M] ECONOMIA DEL TURISMO;F0F0675DABB2CA6D07B19EC6A8D5CA1DA37BF64F;28;18;22/09/2017;10/02/2017;224;0,482758621;0,933333333;0,666666667;F0F0675DABB2CA6D07B19EC6A8D5CA1DA37BF64F;0,63908046
H4101D;[H4101D] MEDICINA E CHIRURGIA;8B627796A1DF9ACEB7F97D1B88E3C72B2F83771E;30;13;25/07/2017;10/01/2017;196;0,422413793;1;0,481481481;8B627796A1DF9ACEB7F97D1B88E3C72B2F83771E;0,639048531
F7702M;[F7702M] MARKETING E MERCATI GLOBALI;BA4DFA2ED058F134D07DF450225FB15B571729CE;27,8;19;21/09/2017;26/01/2017;238;0,512931034;0,926666667;0,703703704;BA4DFA2ED058F134D07DF450225FB15B571729CE;0,634709451
E3002Q;[E3002Q] OTTICA E OPTOMETRIA;AE66E8421FD770559EF1634A93ECDB5B3AF8AA51;27,66666667;14;19/06/2017;16/01/2017;154;0,331896552;0,922222222;0,518518519;AE66E8421FD770559EF1634A93ECDB5B3AF8AA51;0,634323116
H4101D;[H4101D] MEDICINA E CHIRURGIA;AEC0D61B732ADDD1A9727C0334EB8E85EE1F1CBB;29,16666667;15;08/09/2017;31/01/2017;220;0,474137931;0,972222222;0,555555556;AEC0D61B732ADDD1A9727C0334EB8E85EE1F1CBB;0,632183908
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;A3595CF38C579357D36E5370E1FFFFCB0B3AAB52;30;11;17/07/2017;02/02/2017;165;0,355603448;1;0,407407407;A3595CF38C579357D36E5370E1FFFFCB0B3AAB52;0,631265964
H4101D;[H4101D] MEDICINA E CHIRURGIA;BAA40D5FB7134299A0F06C0B371FCD9E99D99AD0;29,71428571;12;17/07/2017;13/01/2017;185;0,398706897;0,99047619;0,444444444;BAA40D5FB7134299A0F06C0B371FCD9E99D99AD0;0,628858785
H4101D;[H4101D] MEDICINA E CHIRURGIA;40E363A7817B7FD11CCFD0513AF07B2BF6DA3AD6;29,25;11;05/06/2017;11/01/2017;145;0,3125;0,975;0,407407407;40E363A7817B7FD11CCFD0513AF07B2BF6DA3AD6;0,627546296
F8501R;[F8501R] SCIENZE PEDAGOGICHE;E0D55875E6361BF3166E892EF6E00E62FCCD0AE9;28,125;13;19/06/2017;11/01/2017;159;0,342672414;0,9375;0,481481481;E0D55875E6361BF3166E892EF6E00E62FCCD0AE9;0,62699553
581;[581] GIURISPRUDENZA;EEB9500CBB6586DD93CA7AC1E7AC82D707AED131;29,81818182;14;18/07/2017;28/11/2016;232;0,5;0,993939394;0,518518519;EEB9500CBB6586DD93CA7AC1E7AC82D707AED131;0,626599327
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;166BCC89FF140050D2F9889F2E5C17B31761D796;30;9;29/09/2017;07/06/2017;114;0,245689655;1;0,333333333;166BCC89FF140050D2F9889F2E5C17B31761D796;0,625718391
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;BCA2BE408C611B38923641E2BE46018E7ECAD2DB;29;11;22/06/2017;02/02/2017;140;0,301724138;0,966666667;0,407407407;BCA2BE408C611B38923641E2BE46018E7ECAD2DB;0,625574713
F0601Q;[F0601Q] BIOLOGIA;46B0B1B9A812D34AF014A45038EA1D0A64FD47F4;30;12;13/07/2017;21/12/2016;204;0,439655172;1;0,444444444;46B0B1B9A812D34AF014A45038EA1D0A64FD47F4;0,624521073
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;B6A056BE4CC075CAFBBE7D74E32AEF85D5588F3D;30;8;10/04/2017;26/01/2017;74;0,159482759;1;0,296296296;B6A056BE4CC075CAFBBE7D74E32AEF85D5588F3D;0,624521073
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;54F931128B915CFDB96AFE858F2D3A7E92C9BDC2;29,5;11;06/07/2017;24/01/2017;163;0,351293103;0,983333333;0,407407407;54F931128B915CFDB96AFE858F2D3A7E92C9BDC2;0,623810664
F1801Q;[F1801Q] INFORMATICA;0D6C7A5C9A32BCBFC4F2027AC8F5693D86274FDA;29,28571429;8;21/07/2017;12/06/2017;39;0,084051724;0,976190476;0,296296296;0D6C7A5C9A32BCBFC4F2027AC8F5693D86274FDA;0,623791279
H4101D;[H4101D] MEDICINA E CHIRURGIA;2E28CC9D37D473643F09EEA4D89609F133A1A926;29,33333333;12;13/07/2017;11/01/2017;183;0,394396552;0,977777778;0,444444444;2E28CC9D37D473643F09EEA4D89609F133A1A926;0,623467433
H4101D;[H4101D] MEDICINA E CHIRURGIA;A72CDFB2BE437A5EADEDFBADCF451052597EAA49;29,16666667;16;19/09/2017;13/01/2017;249;0,536637931;0,972222222;0,592592593;A72CDFB2BE437A5EADEDFBADCF451052597EAA49;0,623403576
H4101D;[H4101D] MEDICINA E CHIRURGIA;43281ABF83462079F6BDB62DCE988F0B7B60871B;28,66666667;18;29/09/2017;10/01/2017;262;0,564655172;0,955555556;0,666666667;43281ABF83462079F6BDB62DCE988F0B7B60871B;0,62289272
H4101D;[H4101D] MEDICINA E CHIRURGIA;7666F1EFE4C6B3830D726F655C9BE0143D32702A;28,4;17;13/09/2017;11/01/2017;245;0,528017241;0,946666667;0,62962963;7666F1EFE4C6B3830D726F655C9BE0143D32702A;0,621920498
E3001Q;[E3001Q] FISICA;5E424B4124607AB415D57C7A54AB3CC710ACE6C5;29,33333333;11;11/07/2017;31/01/2017;161;0,346982759;0,977777778;0,407407407;5E424B4124607AB415D57C7A54AB3CC710ACE6C5;0,62191092
E1802M;[E1802M] ECONOMIA E AMMINISTRAZIONE DELLE IMPRESE;E4E5576817728AA8FCD11EE792CB931F99A532C6;28,75;12;18/07/2017;02/02/2017;166;0,357758621;0,958333333;0,444444444;E4E5576817728AA8FCD11EE792CB931F99A532C6;0,621886973
581;[581] GIURISPRUDENZA;C23E3A19329C03209888CB5A459DC0F2BB1E062E;29,72727273;14;24/07/2017;28/11/2016;238;0,512931034;0,990909091;0,518518519;C23E3A19329C03209888CB5A459DC0F2BB1E062E;0,621731685
H4101D;[H4101D] MEDICINA E CHIRURGIA;F97974F37D1589FA1FC622BA6B279D9835904BBB;27;16;25/07/2017;10/01/2017;196;0,422413793;0,9;0,592592593;F97974F37D1589FA1FC622BA6B279D9835904BBB;0,621136654
H4101D;[H4101D] MEDICINA E CHIRURGIA;C3AEA91D62F781AC8C2B528F7A49CE5CCD29E1DB;28,16666667;17;08/09/2017;10/01/2017;241;0,519396552;0,938888889;0,62962963;C3AEA91D62F781AC8C2B528F7A49CE5CCD29E1DB;0,62074553
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;711360A26CFDCCFF027AEEBB03AC75FF5C14E397;29,11111111;15;28/09/2017;02/02/2017;238;0,512931034;0,97037037;0,555555556;711360A26CFDCCFF027AEEBB03AC75FF5C14E397;0,62048212
F7702M;[F7702M] MARKETING E MERCATI GLOBALI;80C21C04C114E04A8F28214C727DF1E4BB1AC51F;29;16;10/10/2017;02/02/2017;250;0,538793103;0,966666667;0,592592593;80C21C04C114E04A8F28214C727DF1E4BB1AC51F;0,619987229
H4101D;[H4101D] MEDICINA E CHIRURGIA;3EA6AD195B8BA7A7842A54736645F8628787E637;30;11;20/07/2017;10/01/2017;191;0,411637931;1;0,407407407;3EA6AD195B8BA7A7842A54736645F8628787E637;0,619851533
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;C7AAAD69F43D5D2B1A1980F8249F7B164893A77F;29;9;20/04/2017;26/01/2017;84;0,181034483;0,966666667;0,333333333;C7AAAD69F43D5D2B1A1980F8249F7B164893A77F;0,619827586
H4101D;[H4101D] MEDICINA E CHIRURGIA;7540D535C79ED425CF385BDE31B8DEA5FAEC21F2;29,71428571;11;13/07/2017;13/01/2017;181;0,390086207;0,99047619;0,407407407;7540D535C79ED425CF385BDE31B8DEA5FAEC21F2;0,619479794
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;CCE599F2AC776716434114CEC6481B266346AC1F;28,33333333;12;30/06/2017;24/01/2017;157;0,338362069;0,944444444;0,444444444;CCE599F2AC776716434114CEC6481B266346AC1F;0,619252874
E0201Q;[E0201Q] BIOTECNOLOGIE;9E35B800D05B2C2978B51D94FA7858CBF7059061;29,42857143;10;30/06/2017;08/02/2017;142;0,306034483;0,980952381;0,37037037;9E35B800D05B2C2978B51D94FA7858CBF7059061;0,618988323
H4101D;[H4101D] MEDICINA E CHIRURGIA;D7CEC42E03B2077CFE4757A5BB58EE1A83D67F37;29,25;12;20/07/2017;10/01/2017;191;0,411637931;0,975;0,444444444;D7CEC42E03B2077CFE4757A5BB58EE1A83D67F37;0,618247126
F0901D;[F0901D] BIOTECNOLOGIE MEDICHE;22AB7D74FBDCF264DF92A6482FBA73B9BF42EB28;28,9;11;26/06/2017;24/01/2017;153;0,329741379;0,963333333;0,407407407;22AB7D74FBDCF264DF92A6482FBA73B9BF42EB28;0,61820083
H4101D;[H4101D] MEDICINA E CHIRURGIA;439E93116429D109B73C1A88DF17BD3B7F296815;29,33333333;12;24/07/2017;10/01/2017;195;0,420258621;0,977777778;0,444444444;439E93116429D109B73C1A88DF17BD3B7F296815;0,617720307
H4101D;[H4101D] MEDICINA E CHIRURGIA;B2C0E4E0ADEC3AB94B37D7A00E51A3FBA2A6E8C3;30;11;25/07/2017;10/01/2017;196;0,422413793;1;0,407407407;B2C0E4E0ADEC3AB94B37D7A00E51A3FBA2A6E8C3;0,61765645
H4101D;[H4101D] MEDICINA E CHIRURGIA;899F530FE7A96C7AD816B262E161143B4623D14E;29,66666667;11;13/07/2017;10/01/2017;184;0,396551724;0,988888889;0,407407407;899F530FE7A96C7AD816B262E161143B4623D14E;0,617369093
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;2AC67EC50C61FD2B7B2E57AD80E82B13EE339BC1;29,33333333;12;25/07/2017;10/01/2017;196;0,422413793;0,977777778;0,444444444;2AC67EC50C61FD2B7B2E57AD80E82B13EE339BC1;0,617241379
F1701Q;[F1701Q] FISICA;D6179BF8E7F16180BA4B3A72DA0B4817B3958D76;29,8;12;27/11/2017;28/04/2017;213;0,459051724;0,993333333;0,444444444;D6179BF8E7F16180BA4B3A72DA0B4817B3958D76;0,616877395
H4101D;[H4101D] MEDICINA E CHIRURGIA;B11268BD01C9507B4A2949C98252FDD61715F2BA;28,66666667;13;25/07/2017;10/01/2017;196;0,422413793;0,955555556;0,481481481;B11268BD01C9507B4A2949C98252FDD61715F2BA;0,616826309
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;DDDC3A2B2F2FF59C98C9FC75135F54F78EB028ED;28;20;19/10/2017;16/01/2017;276;0,594827586;0,933333333;0,740740741;DDDC3A2B2F2FF59C98C9FC75135F54F78EB028ED;0,616730524
H4101D;[H4101D] MEDICINA E CHIRURGIA;279FB893966F1EBEC9089CD2EAF5E5EB61D61067;29,71428571;10;22/06/2017;13/01/2017;160;0,344827586;0,99047619;0,37037037;279FB893966F1EBEC9089CD2EAF5E5EB61D61067;0,61656632
H4101D;[H4101D] MEDICINA E CHIRURGIA;154D61F02FD1DAD60B52B0E6C955B2D73ADD73F3;29,2;16;29/09/2017;11/01/2017;261;0,5625;0,973333333;0,592592593;154D61F02FD1DAD60B52B0E6C955B2D73ADD73F3;0,616296296
F7702M;[F7702M] MARKETING E MERCATI GLOBALI;10C1EC8ECB783796DA616675FFCDB50565453AB6;28,28571429;12;30/06/2017;19/01/2017;162;0,349137931;0,942857143;0,444444444;10C1EC8ECB783796DA616675FFCDB50565453AB6;0,616064587
H4101D;[H4101D] MEDICINA E CHIRURGIA;CFB904DE6EE7F4F16682CAB79514BD7FEC3D1346;29,66666667;15;29/09/2017;11/01/2017;261;0,5625;0,988888889;0,555555556;CFB904DE6EE7F4F16682CAB79514BD7FEC3D1346;0,615972222
F1701Q;[F1701Q] FISICA;6C84D9F3D9CF4D4D2A90C2D17003FD9B5D30FB8D;29,25;12;24/07/2017;09/01/2017;196;0,422413793;0,975;0,444444444;6C84D9F3D9CF4D4D2A90C2D17003FD9B5D30FB8D;0,61585249
F1801Q;[F1801Q] INFORMATICA;87B1E90A51CAB0BC23C6D475AA1C2CCB8E06A910;28,8;9;21/09/2017;27/06/2017;86;0,185344828;0,96;0,333333333;87B1E90A51CAB0BC23C6D475AA1C2CCB8E06A910;0,615775862
E2401P;[E2401P] SCIENZE E TECNICHE PSICOLOGICHE;2AE84550A53E814CEB206F52CFB3D13865DBAD7A;29,33333333;11;11/07/2017;17/01/2017;175;0,377155172;0,977777778;0,407407407;2AE84550A53E814CEB206F52CFB3D13865DBAD7A;0,615764687
E3101Q;[E3101Q] INFORMATICA;C145891D5D27B69052D59CEF014B7C70BCCBF7BC;30;10;17/07/2017;24/01/2017;174;0,375;1;0,37037037;C145891D5D27B69052D59CEF014B7C70BCCBF7BC;0,615740741
E3101Q;[E3101Q] INFORMATICA;E510129C5E6CBB4FF9B474815E96A46B7981E863;30;10;17/07/2017;24/01/2017;174;0,375;1;0,37037037;E510129C5E6CBB4FF9B474815E96A46B7981E863;0,615740741
H4101D;[H4101D] MEDICINA E CHIRURGIA;AE24020C6080E1E932984DBD606632F08F346C17;29,57142857;11;17/07/2017;13/01/2017;185;0,398706897;0,985714286;0,407407407;AE24020C6080E1E932984DBD606632F08F346C17;0,615342775
F5701R;[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;EB7150C1F4ABD8C080AD19518559BF7639F9AF67;28,16666667;17;18/09/2017;12/01/2017;249;0,536637931;0,938888889;0,62962963;EB7150C1F4ABD8C080AD19518559BF7639F9AF67;0,615317688
E3201Q;[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE;FD4A0000113C6540F3F2F03B74A86A3EDD3F494E;29,77777778;10;13/07/2017;27/01/2017;167;0,359913793;0,992592593;0,37037037;FD4A0000113C6540F3F2F03B74A86A3EDD3F494E;0,614830779
H4101D;[H4101D] MEDICINA E CHIRURGIA;F8A0ECC84F0C2276F18394CB9C242FC2F218D9E9;29,42857143;11;13/07/2017;13/01/2017;181;0,390086207;0,980952381;0,407407407;F8A0ECC84F0C2276F18394CB9C242FC2F218D9E9;0,614717889
581;[581] GIURISPRUDENZA;E39D434C0F681FA658E5150A18BDDFF535019503;30;17;19/07/2017;27/09/2016;295;0,635775862;1;0,62962963;E39D434C0F681FA658E5150A18BDDFF535019503;0,614663155
H4101D;[H4101D] MEDICINA E CHIRURGIA;8046F70CA328920A779AF24239A1276C67C92323;29,14285714;11;03/07/2017;13/01/2017;171;0,368534483;0,971428571;0,407407407;8046F70CA328920A779AF24239A1276C67C92323;0,61434615
F0901D;[F0901D] BIOTECNOLOGIE MEDICHE;BF3165DCBA2DA6804EAB20F97E147857EB8FE3A2;29,11111111;11;14/07/2017;25/01/2017;170;0,36637931;0,97037037;0,407407407;BF3165DCBA2DA6804EAB20F97E147857EB8FE3A2;0,614256066
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;3CB79E18526A4E6DE12BA730A8BFAB372C4F079C;27,5;18;06/10/2017;01/02/2017;247;0,532327586;0,916666667;0,666666667;3CB79E18526A4E6DE12BA730A8BFAB372C4F079C;0,614224138
F1801Q;[F1801Q] INFORMATICA;3397964D55709B5ED0E490EA4BB4E1FCCD67A27C;28,25;10;26/09/2017;12/06/2017;106;0,228448276;0,941666667;0,37037037;3397964D55709B5ED0E490EA4BB4E1FCCD67A27C;0,613713282
H4101D;[H4101D] MEDICINA E CHIRURGIA;50662A266E67E25AB4BA8102822C25E69336B9D2;27,83333333;14;25/07/2017;10/01/2017;196;0,422413793;0,927777778;0,518518519;50662A266E67E25AB4BA8102822C25E69336B9D2;0,613633461
H4101D;[H4101D] MEDICINA E CHIRURGIA;16913666802570A1345284CE6906F7D31DDB1640;28,25;12;05/06/2017;21/12/2016;166;0,357758621;0,941666667;0,444444444;16913666802570A1345284CE6906F7D31DDB1640;0,61355364
H4101D;[H4101D] MEDICINA E CHIRURGIA;FE9F0E85F2B7308B2A086F7DBF4E8E0FBC7D5761;30;10;13/07/2017;13/01/2017;181;0,390086207;1;0,37037037;FE9F0E85F2B7308B2A086F7DBF4E8E0FBC7D5761;0,612946999
E0201Q;[E0201Q] BIOTECNOLOGIE;2B215480C592174511DBBFD1BF4FF1ED18D47B50;30;10;20/07/2017;19/01/2017;182;0,392241379;1;0,37037037;2B215480C592174511DBBFD1BF4FF1ED18D47B50;0,612547893
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;218204783CFC0FC72C2B2E1EEA9A3D400ACAEB10;27,16666667;16;15/09/2017;13/02/2017;214;0,461206897;0,905555556;0,592592593;218204783CFC0FC72C2B2E1EEA9A3D400ACAEB10;0,612420179
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;982AA22C041125E630FA3A57DFED2CE8AA831BFF;29,75;10;24/07/2017;02/02/2017;172;0,370689655;0,991666667;0,37037037;982AA22C041125E630FA3A57DFED2CE8AA831BFF;0,612372286
E0201Q;[E0201Q] BIOTECNOLOGIE;970EF15ADC8705AD3BDCE83D0E0E1E47DFF4C9C4;28,83333333;13;11/07/2017;13/12/2016;210;0,452586207;0,961111111;0,481481481;970EF15ADC8705AD3BDCE83D0E0E1E47DFF4C9C4;0,612340358
H4101D;[H4101D] MEDICINA E CHIRURGIA;8E09B6E59B4640771488442248B093608CB54AD3;27,5;19;29/09/2017;11/01/2017;261;0,5625;0,916666667;0,703703704;8E09B6E59B4640771488442248B093608CB54AD3;0,612268519
H4101D;[H4101D] MEDICINA E CHIRURGIA;E4B2FF746FF4061394FB931E9D03E5B7AB0D6399;29;12;24/07/2017;10/01/2017;195;0,420258621;0,966666667;0,444444444;E4B2FF746FF4061394FB931E9D03E5B7AB0D6399;0,612164751
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;21A6F7951F578FCA656011C74C8C5EEC1F2AB37C;28,8;12;25/07/2017;17/01/2017;189;0,407327586;0,96;0,444444444;21A6F7951F578FCA656011C74C8C5EEC1F2AB37C;0,611704981
F1801Q;[F1801Q] INFORMATICA;7C113989DD274CE6BA75CDFBC15907C6D5190CCA;28;10;21/09/2017;12/06/2017;101;0,217672414;0,933333333;0,37037037;7C113989DD274CE6BA75CDFBC15907C6D5190CCA;0,611542146
H4601D;[H4601D] ODONTOIATRIA E PROTESI DENTARIA;030BAB9ACDC4961E3F4A19CC321E9DF2F51F27C0;29,5;10;25/07/2017;10/02/2017;165;0,355603448;0,983333333;0,37037037;030BAB9ACDC4961E3F4A19CC321E9DF2F51F27C0;0,610999361
F5104P;[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA;3E4D98591B65392CE71AAA562B6354889C4B17E0;29,71428571;10;03/07/2017;10/01/2017;174;0,375;0,99047619;0,37037037;3E4D98591B65392CE71AAA562B6354889C4B17E0;0,610978836
E1401A;[E1401A] SCIENZE DEI SERVIZI GIURIDICI;70693C5357E43C32D025F9DF3560F6E16AA42410;29,71428571;9;14/06/2017;23/01/2017;142;0,306034483;0,99047619;0,333333333;70693C5357E43C32D025F9DF3560F6E16AA42410;0,610899015
F5701R;[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE;B4B957B57874C2B7F065111C66F0B7C14668E650;29,25;11;14/07/2017;12/01/2017;183;0,394396552;0,975;0,407407407;B4B957B57874C2B7F065111C66F0B7C14668E650;0,610863665
G8501R;[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA;D1E0089D9AC04D48BAEF9615763717A28E2F82D8;29;14;18/09/2017;25/01/2017;236;0,50862069;0,966666667;0,518518519;D1E0089D9AC04D48BAEF9615763717A28E2F82D8;0,610727969
E1901R;[E1901R] SCIENZE DELL'EDUCAZIONE;79A236B42F0D0239C7C34FD622BA3FC181530B47;28,5;11;23/06/2017;19/01/2017;155;0,334051724;0,95;0,407407407;79A236B42F0D0239C7C34FD622BA3FC181530B47;0,61065613
H4101D;[H4101D] MEDICINA E CHIRURGIA;2B588E7C583F92B48AC9000601F91278CD565DD7;29,85714286;10;13/07/2017;13/01/2017;181;0,390086207;0,995238095;0,37037037;2B588E7C583F92B48AC9000601F91278CD565DD7;0,610566046
I0102D;[I0102D] OSTETRICIA (ABILITANTE ALLA PROFESSIONE SANITARIA DI OSTETRICA/O);980C1C3287BB6940E4D9DBDAD41D24D36A064472;28,875;15;15/09/2017;10/01/2017;248;0,534482759;0,9625;0,555555556;980C1C3287BB6940E4D9DBDAD41D24D36A064472;0,610560345
E1401A;[E1401A] SCIENZE DEI SERVIZI GIURIDICI;4527F926A173AF644F652900259EB88C50C6433A;28,71428571;12;07/06/2017;30/11/2016;189;0,407327586;0,957142857;0,444444444;4527F926A173AF644F652900259EB88C50C6433A;0,610276409
E3201Q;[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE;0D55AC7BF865E99824AB97B011A413918A1A1D33;30;9;15/06/2017;09/01/2017;157;0,338362069;1;0,333333333;0D55AC7BF865E99824AB97B011A413918A1A1D33;0,610272989
F4001Q;[F4001Q] MATEMATICA;1A0CA674804474DFEA5EB6663935FA5E8F36A987;30;12;15/09/2017;24/01/2017;234;0,504310345;1;0,444444444;1A0CA674804474DFEA5EB6663935FA5E8F36A987;0,610153257
H4101D;[H4101D] MEDICINA E CHIRURGIA;5643A1A33839497EA5013F17E358BA23B70A3BCA;27,4;19;29/09/2017;10/01/2017;262;0,564655172;0,913333333;0,703703704;5643A1A33839497EA5013F17E358BA23B70A3BCA;0,60984355
F7702M;[F7702M] MARKETING E MERCATI GLOBALI;62E78F714820D1C816618A818EFF3FF8E395CBD2;27,57142857;12;07/07/2017;06/02/2017;151;0,325431034;0,919047619;0,444444444;62E78F714820D1C816618A818EFF3FF8E395CBD2;0,609428024
H4101D;[H4101D] MEDICINA E CHIRURGIA;BF878E68A1218BBED4AE5A453E92B9628A664A4D;29,83333333;10;13/07/2017;11/01/2017;183;0,394396552;0,994444444;0,37037037;BF878E68A1218BBED4AE5A453E92B9628A664A4D;0,609371009
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;835F0BCB320CF330EF8C3E5DA4D3C08FD6BB3FB9;29,75;12;21/09/2017;06/02/2017;227;0,489224138;0,991666667;0,444444444;835F0BCB320CF330EF8C3E5DA4D3C08FD6BB3FB9;0,60933908
E3101Q;[E3101Q] INFORMATICA;B68F5DF71D12B9252877C765390E9365828FC85E;29;11;26/07/2017;30/01/2017;177;0,381465517;0,966666667;0,407407407;B68F5DF71D12B9252877C765390E9365828FC85E;0,609331098
E1901R;[E1901R] SCIENZE DELL'EDUCAZIONE;C9707E5568A4BA7DE6213F1BDBE2CCC65691710E;28;15;28/09/2017;14/02/2017;226;0,487068966;0,933333333;0,555555556;C9707E5568A4BA7DE6213F1BDBE2CCC65691710E;0,60914751
H4601D;[H4601D] ODONTOIATRIA E PROTESI DENTARIA;398A78FFDBB9FB2BE7F29DE001F2F05D24959F12;29,5;9;27/06/2017;10/02/2017;137;0,295258621;0,983333333;0,333333333;398A78FFDBB9FB2BE7F29DE001F2F05D24959F12;0,609123563
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;BE76F1F111D757494AA5008C6CFA3284CF06FE67;28,42857143;15;28/09/2017;02/02/2017;238;0,512931034;0,947619048;0,555555556;BE76F1F111D757494AA5008C6CFA3284CF06FE67;0,609106459
E3201Q;[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE;BAE447575C0656A2FF44C5A9C49259658F6EF6BD;29,57142857;13;21/09/2017;24/01/2017;240;0,517241379;0,985714286;0,481481481;BAE447575C0656A2FF44C5A9C49259658F6EF6BD;0,609076811
F0601Q;[F0601Q] BIOLOGIA;48CB0FE233427682FEBD5F6B05B7EB1376D2BC14;27,6;15;22/11/2017;21/04/2017;215;0,463362069;0,92;0,555555556;48CB0FE233427682FEBD5F6B05B7EB1376D2BC14;0,609066092
F7701M;[F7701M] SCIENZE ECONOMICO-AZIENDALI;1B4C1D3442BD0E2A602845E236F25B479FB81ED0;30;9;14/07/2017;03/02/2017;161;0,346982759;1;0,333333333;1B4C1D3442BD0E2A602845E236F25B479FB81ED0;0,608836207
F0802Q;[F0802Q] BIOTECNOLOGIE INDUSTRIALI;8A27EEBB3940B804039473613398E451938DE70A;29,3;15;09/10/2017;19/01/2017;263;0,566810345;0,976666667;0,555555556;8A27EEBB3940B804039473613398E451938DE70A;0,608663793
