cdscod,cds,adcod,ad,voto
E2701Q,"[E2701Q] SCIENZA DEI MATERIALI",E2701Q051,"[E2701Q051] LABORATORIO DI TECNOLOGIA DEI MATERIALI I",30.0
E2701Q,"[E2701Q] SCIENZA DEI MATERIALI",E2702Q045,"[E2702Q045] ELEMENTI DI BIOCHIMICA",30.0
E2702Q,"[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE",E0201Q046,"[E0201Q046] INFORMATICA",30.0
E2702Q,"[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE",E2702Q045,"[E2702Q045] ELEMENTI DI BIOCHIMICA",28.325
E2702Q,"[E2702Q] SCIENZE E TECNOLOGIE CHIMICHE",E2001R014,"[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA",28.0
E3001Q,"[E3001Q] FISICA",E3001Q062,"[E3001Q062] ESPERIMENTAZIONI DI PLASMI",30.0
E3001Q,"[E3001Q] FISICA",E3001Q064,"[E3001Q064] ESPERIMENTAZIONI DI FISICA DEI SOLIDI",30.0
E3001Q,"[E3001Q] FISICA",E3501Q058,"[E3501Q058] ANALISI NUMERICA",30.0
E3002Q,"[E3002Q] OTTICA E OPTOMETRIA",E1901R091,"[E1901R091] PSICOLOGIA CLINICA",30.0
E3002Q,"[E3002Q] OTTICA E OPTOMETRIA",E1301Q063,"[E1301Q063] BOTANICA",29.0
E3002Q,"[E3002Q] OTTICA E OPTOMETRIA",E1601N033,"[E1601N033] ECONOMIA E MANAGEMENT DELLE RETI E DELLE PICCOLE IMPRESE",29.0
E3101Q,"[E3101Q] INFORMATICA",E3001Q040,"[E3001Q040] ANALISI MATEMATICA II",30.0
E3101Q,"[E3101Q] INFORMATICA",E3101Q117,"[E3101Q117] BUSINESS INTELLIGENCE PER I SERVIZI FINANZIARI",29.6666666666667
E3101Q,"[E3101Q] INFORMATICA",E3101Q116,"[E3101Q116] ELEMENTI DI BIOINFORMATICA",29.625
E3201Q,"[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE",E3201Q086,"[E3201Q086] STATISTICA",28.75
E3201Q,"[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE",E3201Q087,"[E3201Q087] CHIMICA DELLE ACQUE",28.2
E3201Q,"[E3201Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE",E1301Q015,"[E1301Q015] FISIOLOGIA GENERALE",28.0
E3301M,"[E3301M] ECONOMIA E COMMERCIO",E1802M117,"[E1802M117] BILANCIO E ANALISI ECONOMICO FINANZIARIA",30.0
E3301M,"[E3301M] ECONOMIA E COMMERCIO",E2004P025,"[E2004P025] PSICOLOGIA ECONOMICA E DEL LAVORO",30.0
E3301M,"[E3301M] ECONOMIA E COMMERCIO",E3301M156,"[E3301M156] METODI QUANTITATIVI PER LE DISCIPLINE ECONOMICHE",29.5
E3401Q,"[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",E1501N082,"[E1501N082] ARCHEOLOGIA",30.0
E3401Q,"[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",E3201Q087,"[E3201Q087] CHIMICA DELLE ACQUE",30.0
E3401Q,"[E3401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",E2701Q038,"[E2701Q038] CHIMICA MACROMOLECOLARE CON LABORATORIO",28.0
E3501Q,"[E3501Q] MATEMATICA",E2001R014,"[E2001R014] LOGICA E FILOSOFIA DELLA SCIENZA",30.0
E3501Q,"[E3501Q] MATEMATICA",E3001Q046,"[E3001Q046] MECCANICA QUANTISTICA",30.0
E3501Q,"[E3501Q] MATEMATICA",E3101Q117,"[E3101Q117] BUSINESS INTELLIGENCE PER I SERVIZI FINANZIARI",30.0
E3901N,"[E3901N] SERVIZIO SOCIALE",E3901N037,"[E3901N037] INCLUSIONE SOCIALE, RETI E WELFARE",28.3484848484848
E3901N,"[E3901N] SERVIZIO SOCIALE",E3901N036,"[E3901N036] MUTAMENTO SOCIALE E WELFARE",28.1428571428571
E3901N,"[E3901N] SERVIZIO SOCIALE",E3901N023,"[E3901N023] TIROCINIO",28.0487804878049
E4001N,"[E4001N] SOCIOLOGIA",E1601N034,"[E1601N034] MANAGEMENT DEI SERVIZI PUBBLICI E DELLE ORGANIZZAZIONI NO PROFIT",29.0
E4001N,"[E4001N] SOCIOLOGIA",E2001R038,"[E2001R038] ISTITUZIONI DI CULTURA ARABA",28.0
E4001N,"[E4001N] SOCIOLOGIA",E4102B006,"[E4102B006] CALCOLO DELLE PROBABILITÀ",28.0
E4101B,"[E4101B] SCIENZE STATISTICHE ED ECONOMICHE",E4102B020,"[E4102B020] EPIDEMIOLOGIA",30.0
E4101B,"[E4101B] SCIENZE STATISTICHE ED ECONOMICHE",E4102B071,"[E4102B071] STATISTICA SPAZIALE E AMBIENTALE",30.0
E4101B,"[E4101B] SCIENZE STATISTICHE ED ECONOMICHE",E4101B026,"[E4101B026] DATA MINING",29.1219512195122
E4102B,"[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI",E4102B061,"[E4102B061] POPOLAZIONE, TERRITORIO E SOCIETA' I",29.0
E4102B,"[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI",E4102B071,"[E4102B071] STATISTICA SPAZIALE E AMBIENTALE",28.4444444444444
E4102B,"[E4102B] STATISTICA E GESTIONE DELLE INFORMAZIONI",E4102B059,"[E4102B059] MODELLI LINEARI GENERALIZZATI IN EPIDEMIOLOGIA E MEDICINA",28.0
F0101R,"[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE",F0101R025,"[F0101R025] CULTURE E SOCIETÀ DELL'AFRICA",30.0
F0101R,"[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE",F0101R029,"[F0101R029] CULTURE E SOCIETÀ DEL PACIFICO",30.0
F0101R,"[F0101R] SCIENZE ANTROPOLOGICHE ED ETNOLOGICHE",F5701R019,"[F5701R019] PEDAGOGIA INTERCULTURALE E DELLA COOP.",30.0
F0601Q,"[F0601Q] BIOLOGIA",F0601Q048,"[F0601Q048] BIOLOGIA QUANTITATIVA",30.0
F0601Q,"[F0601Q] BIOLOGIA",F0802Q038,"[F0802Q038] GENETICA MOLECOLARE",30.0
F0601Q,"[F0601Q] BIOLOGIA",F0802Q040,"[F0802Q040] STRUTTURE E INTERAZIONI MOLECOLARI",30.0
F0802Q,"[F0802Q] BIOTECNOLOGIE INDUSTRIALI",F0601Q051,"[F0601Q051] FISIOLOGIA MOLECOLARE DELLE PIANTE",30.0
F0802Q,"[F0802Q] BIOTECNOLOGIE INDUSTRIALI",F0601Q058,"[F0601Q058] BIODIVERSITA' VEGETALE",30.0
F0802Q,"[F0802Q] BIOTECNOLOGIE INDUSTRIALI",F0802Q066,"[F0802Q066] CHIMICA ORGANICA FARMACEUTICA",30.0
F0901D,"[F0901D] BIOTECNOLOGIE MEDICHE",F0901D029,"[F0901D029] BIOTECNOLOGIE IN DIAGNOSTICA",29.2
F0901D,"[F0901D] BIOTECNOLOGIE MEDICHE",F0901D025,"[F0901D025] BIOTECNOLOGIE MICROBICHE",28.6666666666667
F0901D,"[F0901D] BIOTECNOLOGIE MEDICHE",F0901D045,"[F0901D045] PHARMACOLOGY",28.6
F1601M,"[F1601M] ECONOMIA E FINANZA",F1601M068,"[F1601M068] CULTURA STORICA GIURIDICA E LINGUISTICA SPAGNOLA",30.0
F1601M,"[F1601M] ECONOMIA E FINANZA",F1601M069,"[F1601M069] CULTURA STORICA GIURIDICA E LINGUISTICA TEDESCA",30.0
F1601M,"[F1601M] ECONOMIA E FINANZA",F5102P019,"[F5102P019] PSICOLOGIA DELLE CONDOTTE FINANZIARIE",29.6
F1701Q,"[F1701Q] FISICA",F0802Q068,"[F0802Q068] COMPUTATIONAL SYSTEMS BIOLOGY",30.0
F1701Q,"[F1701Q] FISICA",F1701Q082,"[F1701Q082] TEORIA DELLA MATERIA CONDENSATA II",30.0
F1701Q,"[F1701Q] FISICA",F1701Q087,"[F1701Q087] FISICA DELLE PARTICELLE I",30.0
F1801Q,"[F1801Q] INFORMATICA",F1801Q107,"[F1801Q107] SISTEMI COMPLESSI: MODELLI E SIMULAZIONE",30.0
F1801Q,"[F1801Q] INFORMATICA",F1801Q108,"[F1801Q108] BIOINFORMATICA",30.0
F1801Q,"[F1801Q] INFORMATICA",F1801Q109,"[F1801Q109] BIOLOGIA COMPUTAZIONALE",30.0
F4001Q,"[F4001Q] MATEMATICA",F1801Q141,"[F1801Q141] FONDAMENTI LOGICO MATEMATICI DELL'INFORMATICA",30.0
F4001Q,"[F4001Q] MATEMATICA",F4001Q071,"[F4001Q071] GEOMETRIA DIFFERENZIALE",30.0
F4001Q,"[F4001Q] MATEMATICA",F4001Q095,"[F4001Q095] METODI MATEMATICI PER L?ANALISI ECONOMICA ? OTTIMIZZAZIONE E ANALISI CONVESSA",30.0
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",F8801N042,"[F8801N042] GEOGRAFIA POLITICA",30.0
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",F4901N050,"[F4901N050] TURISMO E SVILUPPO LOCALE",29.0833333333333
F4901N,"[F4901N] TURISMO, TERRITORIO E SVILUPPO LOCALE",F4901N069,"[F4901N069] MEDIA E TURISMO",29.0
F5101P,"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",F5102P004,"[F5102P004] COGNIZIONE SOCIALE",30.0
F5101P,"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",F5102P023,"[F5102P023] PSICOLOGIA DELLE DIFFERENZE E DELLE DISEGUAGLIANZE",30.0
F5101P,"[F5101P] PSICOLOGIA CLINICA, DELLO SVILUPPO E NEUROPSICOLOGIA",F5103P073,"[F5103P073] PSICOLOGIA DELLO SVILUPPO DEL LINGUAGGIO ORALE E SCRITTO",30.0
F5102P,"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",F5102P023,"[F5102P023] PSICOLOGIA DELLE DIFFERENZE E DELLE DISEGUAGLIANZE",30.0
F5102P,"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",F5102P095,"[F5102P095] LA RICERCA-INTERVENTO NEI GRUPPI E NELLE ORGANIZZAZIONI",30.0
F5102P,"[F5102P] PSICOLOGIA DEI PROCESSI SOCIALI, DECISIONALI E DEI COMPORTAMENTI ECONOMICI",F8501R022,"[F8501R022] ORGANIZZAZIONE E GESTIONE DELLE RISORSE UMANE",30.0
F5103P,"[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI",F5102P004,"[F5102P004] COGNIZIONE SOCIALE",30.0
F5103P,"[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI",F5102P015,"[F5102P015] PSICOLOGIA DELLE INFLUENZE SOCIALI",30.0
F5103P,"[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI",F5103P073,"[F5103P073] PSICOLOGIA DELLO SVILUPPO DEL LINGUAGGIO ORALE E SCRITTO",28.8378378378378
F5104P,"[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA",F5102P022,"[F5102P022] INTERVENTO PSICOSOCIALE DI PROMOZIONE DEL BENESSERE",30.0
F5104P,"[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA",F5103P005,"[F5103P005] PSICOLOGIA DELLO SVILUPPO SOCIO-AFFETTIVO",30.0
F5104P,"[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA",F5103P010,"[F5103P010] FATTORI EMOTIVI E RELAZIONALI DELL'APPRENDIMENTO",30.0
F5301Q,"[F5301Q] SCIENZA DEI MATERIALI",F5301Q011,"[F5301Q011] INTERAZIONE RADIAZIONE IONIZZANTE-MATERIA",30.0
F5301Q,"[F5301Q] SCIENZA DEI MATERIALI",F5301Q028,"[F5301Q028] ELETTRONICA E FOTONICA MOLECOLARE",30.0
F5301Q,"[F5301Q] SCIENZA DEI MATERIALI",F5301Q034,"[F5301Q034] SCIENZA DEI METALLI",30.0
F5401Q,"[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE",F0802Q050,"[F0802Q050] NANOBIOTECNOLOGIE",30.0
F5401Q,"[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE",F5401Q033,"[F5401Q033] SINTESI E TECNICHE SPECIALI ORGANICHE DEI MATERIALI",30.0
F5401Q,"[F5401Q] SCIENZE E TECNOLOGIE CHIMICHE",F5401Q042,"[F5401Q042] CHIMICA DEI MATERIALI INORGANICI",30.0
F5602M,"[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE",F5602M004,"[F5602M004] GLOBAL MACROECONOMICS",30.0
F5602M,"[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE",F5602M016,"[F5602M016] LABOUR MARKETS",29.1666666666667
F5602M,"[F5602M] INTERNATIONAL ECONOMICS - ECONOMIA INTERNAZIONALE",F5602M010,"[F5602M010] THE CORPORATE STRATEGY: THE STRATEGIC ANALYSIS IN A COMPETITIVE ENVIRONMENT",29.1428571428571
F5701R,"[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE",F9201P201,"[F9201P201] ELEMENTI DI INFORMATICA",30.0
F5701R,"[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE",F5701R001,"[F5701R001] EDUCAZIONE PERMANENTE E DEGLI ADULTI",29.5625
F5701R,"[F5701R] FORMAZIONE E SVILUPPO DELLE RISORSE UMANE",F5701R020,"[F5701R020] STORIA DELLE ISTITUZIONI POL. SOCIALI I",29.3275862068966
F5801Q,"[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO",F1701Q100,"[F1701Q100] FISICA TEORICA II",30.0
F5801Q,"[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO",F1701Q129,"[F1701Q129] LABORATORIO DI STATO SOLIDO ED ELETTRONICA I",30.0
F5801Q,"[F5801Q] ASTROFISICA E FISICA DELLO SPAZIO",F5801Q023,"[F5801Q023] LABORATORIO DI ASTROFISICA",30.0
F6302N,"[F6302N] MANAGEMENT E DESIGN DEI SERVIZI",F4901N050,"[F4901N050] TURISMO E SVILUPPO LOCALE",30.0
F6302N,"[F6302N] MANAGEMENT E DESIGN DEI SERVIZI",F5701R004,"[F5701R004] SOCIOLOGIA DELL'INNOVAZIONE DI IMPRESA",30.0
F6302N,"[F6302N] MANAGEMENT E DESIGN DEI SERVIZI",F6302N023,"[F6302N023] LE POLITICHE PER LA SALUTE",29.3846153846154
F7401Q,"[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",F7401Q078,"[F7401Q078] GEOENERGIA",30.0
F7401Q,"[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",F7401Q089,"[F7401Q089] METODI DI INDAGINE GEOLOGICO-TECNICA",30.0
F7401Q,"[F7401Q] SCIENZE E TECNOLOGIE GEOLOGICHE",F7401Q098,"[F7401Q098] INTRODUZIONE ALLA GEOGRAFIA FISICA MARINA",30.0
F7501Q,"[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO",F7501Q051,"[F7501Q051] CHIMICA FISICA AMBIENTALE",30.0
F7501Q,"[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO",F7501Q049,"[F7501Q049] CHIMICA DELL'ATMOSFERA",29.4583333333333
F7501Q,"[F7501Q] SCIENZE E TECNOLOGIE PER L'AMBIENTE E IL TERRITORIO",F7501Q053,"[F7501Q053] PROCESSI A BASSO IMPATTO AMBIENTALE",29.3571428571429
F7502Q,"[F7502Q] MARINE SCIENCES - SCIENZE MARINE",F7502Q002,"[F7502Q002] INTRODUCTION TO MARINE BIOLOGY",29.68
F7502Q,"[F7502Q] MARINE SCIENCES - SCIENZE MARINE",F7502Q021,"[F7502Q021] APPLIED GEOMORPHOLOGY AND HABITAT",29.5
F7502Q,"[F7502Q] MARINE SCIENCES - SCIENZE MARINE",F7502Q011,"[F7502Q011] MARINE INVERTEBRATE ZOOLOGY",29.3333333333333
F7601M,"[F7601M] ECONOMIA DEL TURISMO",F4901N066,"[F4901N066] TURISTI E SCENARI TURISTICI",30.0
F7601M,"[F7601M] ECONOMIA DEL TURISMO",F7701M095,"[F7701M095] SISTEMI DI CONTROLLO NELLE AZIENDE PRIVATE E PUBBLICHE",30.0
F7601M,"[F7601M] ECONOMIA DEL TURISMO",F7601M005,"[F7601M005] MARKETING E COMUNICAZIONE DEL TURISMO",29.4489795918367
F7701M,"[F7701M] SCIENZE ECONOMICO-AZIENDALI",F7701M105,"[F7701M105] L'ATTIVITA' DEI CONTROLLI LEGALI",29.4326923076923
F7701M,"[F7701M] SCIENZE ECONOMICO-AZIENDALI",F7701M023,"[F7701M023] DIRITTO PUBBLICO DELL'ECONOMIA PER LE SCIENZE ECON",29.0
F7701M,"[F7701M] SCIENZE ECONOMICO-AZIENDALI",F7701M101,"[F7701M101] ANALISI STRATEGICA E VALUTAZIONE FINANZIARIA D'AZIENDA",28.9811320754717
F7702M,"[F7702M] MARKETING E MERCATI GLOBALI",F7601M005,"[F7601M005] MARKETING E COMUNICAZIONE DEL TURISMO",29.8
F7702M,"[F7702M] MARKETING E MERCATI GLOBALI",F9201P203,"[F9201P203] WEB MARKETING",29.5
F7702M,"[F7702M] MARKETING E MERCATI GLOBALI",F7702M046,"[F7702M046] DIRITTO DELLE COMUNICAZIONI",28.5225225225225
F8202B,"[F8202B] SCIENZE STATISTICHE ED ECONOMICHE",F8204B027,"[F8204B027] STATISTICA AZIENDALE M",23.0
F8202B,"[F8202B] SCIENZE STATISTICHE ED ECONOMICHE",F8204B020,"[F8204B020] ECONOMICS FOR DATA SCIENCE M",21.0
F8202B,"[F8202B] SCIENZE STATISTICHE ED ECONOMICHE",F8204B010,"[F8204B010] STATISTICA SPAZIALE M",18.0
F8203B,"[F8203B] BIOSTATISTICA",F8203B018,"[F8203B018] BIOINFORMATICA",30.0
F8203B,"[F8203B] BIOSTATISTICA",F8203B020,"[F8203B020] VALUTAZIONE STATISTICA DEI SISTEMI SANITARI",30.0
F8203B,"[F8203B] BIOSTATISTICA",F8203B031,"[F8203B031] ELEMENTI DI MEDICINA PER LA RICERCA CLINICA",29.6363636363636
F8204B,"[F8204B] SCIENZE STATISTICHE ED ECONOMICHE",F8203B015,"[F8203B015] STATISTICA AMBIENTALE",30.0
F8204B,"[F8204B] SCIENZE STATISTICHE ED ECONOMICHE",F8203B022,"[F8203B022] POPOLAZIONE, TERRITORIO E SOCIETA'",30.0
F8204B,"[F8204B] SCIENZE STATISTICHE ED ECONOMICHE",F8204B006,"[F8204B006] MACHINE LEARNING M",30.0
F8501R,"[F8501R] SCIENZE PEDAGOGICHE",F0101R025,"[F0101R025] CULTURE E SOCIETÀ DELL'AFRICA",30.0
F8501R,"[F8501R] SCIENZE PEDAGOGICHE",F5701R011,"[F5701R011] TEORIE E MODELLI DELLA CONSULENZA PEDAG.",30.0
F8501R,"[F8501R] SCIENZE PEDAGOGICHE",F8501R031,"[F8501R031] EPISTEMOLOGIA",30.0
F8701N,"[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI",A5810063,"[A5810063] DIRITTO PENITENZIARIO",30.0
F8701N,"[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI",F8701N039,"[F8701N039] PIANIFICAZIONE E GESTIONE DEI PROGETTI",29.9111111111111
F8701N,"[F8701N] PROGRAMMAZIONE E GESTIONE DELLE POLITICHE E  DEI SERVIZI SOCIALI",F8701N035,"[F8701N035] LE FORME DELLA MEDIAZIONE",29.8
F8801N,"[F8801N] SOCIOLOGIA",F5102P095,"[F5102P095] LA RICERCA-INTERVENTO NEI GRUPPI E NELLE ORGANIZZAZIONI",30.0
F8801N,"[F8801N] SOCIOLOGIA",F8501R016,"[F8501R016] TEORIE E PRATICHE DELLA COMUNICAZIONE EDUCATIVA",30.0
F8801N,"[F8801N] SOCIOLOGIA",F8701N035,"[F8701N035] LE FORME DELLA MEDIAZIONE",30.0
F9201P,"[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE",F9201P027,"[F9201P027] GESTIONE DELLA CONOSCENZA",30.0
F9201P,"[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE",F9201P028,"[F9201P028] LABORATORIO DI PROGETTAZIONE",30.0
F9201P,"[F9201P] TEORIA E TECNOLOGIA DELLA COMUNICAZIONE",F9201P035,"[F9201P035] SISTEMI COMPLESSI: MODELLI E SIMULAZIONE",30.0
G8501R,"[G8501R] SCIENZE DELLA FORMAZIONE PRIMARIA",F8501R063,"[F8501R063] EDUCATIONAL ROBOTICS",30.0
